Disease,AUC,PR-AUC,F1,Prevalence,Positive_Samples,Optimal_Threshold
Atelectasis,0.6941,0.3098,0.3740,0.1511,301,0.0488
Cardiomegaly,0.8648,0.5750,0.4829,0.0858,171,0.0379
Effusion,0.7398,0.3980,0.4452,0.1752,349,0.0592
Infiltration,0.6746,0.3730,0.4458,0.2299,458,0.0948
Mass,0.7394,0.3788,0.3701,0.1386,276,0.0419
Nodule,0.7133,0.3276,0.3559,0.1295,258,0.0623
Pneumonia,0.6971,0.2242,0.2265,0.0788,157,0.0360
Pneumothorax,0.8181,0.4727,0.4434,0.1300,259,0.0473
Consolidation,0.7141,0.2871,0.3726,0.1260,251,0.0955
Edema,0.8586,0.4583,0.5052,0.1079,215,0.0580
Emphysema,0.9060,0.7330,0.5743,0.1376,274,0.0586
Fibrosis,0.8598,0.5378,0.4473,0.1104,220,0.0475
Pleural_Thickening,0.7411,0.3153,0.3721,0.1205,240,0.0688
Hernia,0.9248,0.5161,0.2375,0.0131,26,0.0283
