Disease,AUC,PR-AUC,F1,Prevalence,Positive_Samples,Optimal_Threshold
Atelectasis,0.6995,0.2888,0.3713,0.1511,301,0.1145
Cardiomegaly,0.8527,0.5450,0.4805,0.0858,171,0.0674
Effusion,0.7484,0.3988,0.4416,0.1752,349,0.0827
Infiltration,0.6705,0.3590,0.4436,0.2299,458,0.0871
Mass,0.7247,0.3486,0.3606,0.1386,276,0.0698
Nodule,0.7071,0.3348,0.3592,0.1295,258,0.0869
Pneumonia,0.7108,0.2066,0.2325,0.0788,157,0.0398
Pneumothorax,0.8084,0.4605,0.4726,0.1300,259,0.0881
Consolidation,0.7351,0.2884,0.3345,0.1260,251,0.0410
Edema,0.8793,0.4949,0.4394,0.1079,215,0.0470
Emphysema,0.9134,0.7290,0.6285,0.1376,274,0.0848
Fibrosis,0.8476,0.5061,0.4420,0.1104,220,0.0687
Pleural_Thickening,0.7252,0.2800,0.3249,0.1205,240,0.0454
Hernia,0.8983,0.5409,0.2400,0.0131,26,0.0369
