Disease,AUC,PR-AUC,F1,Prevalence,Positive_Samples,Optimal_Threshold
Atelectasis,0.6806,0.2982,0.3607,0.1511,301,0.1875
Cardiomegaly,0.8545,0.5407,0.3616,0.0858,171,0.0207
Effusion,0.7491,0.4006,0.4307,0.1752,349,0.0282
Infiltration,0.6507,0.3404,0.4223,0.2299,458,0.1573
Mass,0.7356,0.3586,0.4062,0.1386,276,0.1304
Nodule,0.7005,0.3248,0.3432,0.1295,258,0.1664
Pneumonia,0.6640,0.1812,0.2219,0.0788,157,0.0526
Pneumothorax,0.8193,0.4576,0.4364,0.1300,259,0.0640
Consolidation,0.7457,0.2853,0.3701,0.1260,251,0.0573
Edema,0.8840,0.5154,0.4894,0.1079,215,0.0280
Emphysema,0.9060,0.7493,0.5782,0.1376,274,0.0332
Fibrosis,0.8510,0.4858,0.4659,0.1104,220,0.0524
Pleural_Thickening,0.7173,0.2654,0.3337,0.1205,240,0.1095
Hernia,0.8922,0.4265,0.1767,0.0131,26,0.0210
