Disease,AUC,PR-AUC,F1,Prevalence,Positive_Samples,Optimal_Threshold
Atelectasis,0.6854,0.3070,0.3569,0.1511,301,0.0609
Cardiomegaly,0.8738,0.5512,0.4583,0.0858,171,0.0339
Effusion,0.7328,0.3882,0.4339,0.1752,349,0.0726
Infiltration,0.6561,0.3541,0.4175,0.2299,458,0.1591
Mass,0.7341,0.3858,0.3936,0.1386,276,0.0757
Nodule,0.7048,0.3246,0.3481,0.1295,258,0.0404
Pneumonia,0.7273,0.2301,0.2663,0.0788,157,0.0400
Pneumothorax,0.8067,0.4788,0.4887,0.1300,259,0.0874
Consolidation,0.7282,0.2565,0.3423,0.1260,251,0.0389
Edema,0.8718,0.4780,0.4679,0.1079,215,0.0420
Emphysema,0.9073,0.7312,0.6424,0.1376,274,0.0912
Fibrosis,0.8456,0.4670,0.5070,0.1104,220,0.0873
Pleural_Thickening,0.7274,0.2953,0.3524,0.1205,240,0.0573
Hernia,0.9189,0.5780,0.2941,0.0131,26,0.0283
